solve time,all time,satisfiable,size,solutions,demands,wavelengths,graph
3.221176363527775,3.2211841456592083,false,1,-1,15,1,res_HiberniaIreland.gml
8.586089164018631,8.58610013872385,false,1,-1,15,2,res_HiberniaIreland.gml
22.975262820720673,22.975271128118038,false,1,-1,15,3,res_HiberniaIreland.gml
279.20880420506,279.2088120467961,true,9588288,-1,15,4,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,5,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,6,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,7,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,8,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,9,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,10,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,11,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,12,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,13,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,14,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,15,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,3600,16,res_HiberniaIreland.gml
22.04359110072255,22.043600402772427,false,1,-1,15,1,res_Litnet.gml
48.88823701813817,48.888245433568954,false,1,-1,15,2,res_Litnet.gml
108.48904881626368,108.48905745893717,false,1,-1,15,3,res_Litnet.gml
246.5046560689807,246.5046630539,true,1946746,-1,15,4,res_Litnet.gml
3549.0899692438543,3549.089976400137,true,97420129,-1,15,5,res_Litnet.gml
3600,3600,3600,3600,3600,3600,6,res_Litnet.gml
3600,3600,3600,3600,3600,3600,7,res_Litnet.gml
3600,3600,3600,3600,3600,3600,8,res_Litnet.gml
3600,3600,3600,3600,3600,3600,9,res_Litnet.gml
3600,3600,3600,3600,3600,3600,10,res_Litnet.gml
3600,3600,3600,3600,3600,3600,11,res_Litnet.gml
3600,3600,3600,3600,3600,3600,12,res_Litnet.gml
3600,3600,3600,3600,3600,3600,13,res_Litnet.gml
3600,3600,3600,3600,3600,3600,14,res_Litnet.gml
3600,3600,3600,3600,3600,3600,15,res_Litnet.gml
3600,3600,3600,3600,3600,3600,16,res_Litnet.gml
0.07236184552311897,0.072368573397398,false,1,-1,15,1,res_Mren.gml
0.0703817829489708,0.07038894295692444,false,1,-1,15,2,res_Mren.gml
0.07240036875009537,0.07240564376115799,false,1,-1,15,3,res_Mren.gml
0.145568635314703,0.14557547867298126,false,1,-1,15,4,res_Mren.gml
4.349999658763409,4.350006751716137,true,257172,-1,15,5,res_Mren.gml
37.14147788658738,37.14148664474487,true,2211130,-1,15,6,res_Mren.gml
223.85205249488354,223.8520583808422,true,11732927,-1,15,7,res_Mren.gml
981.564919423312,981.5649259909987,true,47461004,-1,15,8,res_Mren.gml
3600,3600,3600,3600,3600,3600,9,res_Mren.gml
3600,3600,3600,3600,3600,3600,10,res_Mren.gml
3600,3600,3600,3600,3600,3600,11,res_Mren.gml
3600,3600,3600,3600,3600,3600,12,res_Mren.gml
3600,3600,3600,3600,3600,3600,13,res_Mren.gml
3600,3600,3600,3600,3600,3600,14,res_Mren.gml
3600,3600,3600,3600,3600,3600,15,res_Mren.gml
3600,3600,3600,3600,3600,3600,16,res_Mren.gml
0.14063357189297676,0.1406417340040207,false,1,-1,15,1,res_Nordu1997.gml
0.13781250268220901,0.13781851530075073,false,1,-1,15,2,res_Nordu1997.gml
0.1469745635986328,0.14698058366775513,false,1,-1,15,3,res_Nordu1997.gml
0.18804335221648216,0.18805048614740372,false,1,-1,15,4,res_Nordu1997.gml
1.4046371914446354,1.40464511141181,true,126463,-1,15,5,res_Nordu1997.gml
9.59055469930172,9.590562395751476,true,697183,-1,15,6,res_Nordu1997.gml
40.58550404384732,40.58551238104701,true,2911956,-1,15,7,res_Nordu1997.gml
217.00850612297654,217.00851425155997,true,9901492,-1,15,8,res_Nordu1997.gml
595.4209026508033,595.4209094978869,true,38370782,-1,15,9,res_Nordu1997.gml
1790.4986221715808,1790.4986298754811,true,103128556,-1,15,10,res_Nordu1997.gml
3600,3600,3600,3600,3600,3600,11,res_Nordu1997.gml
3600,3600,3600,3600,3600,3600,12,res_Nordu1997.gml
3600,3600,3600,3600,3600,3600,13,res_Nordu1997.gml
3600,3600,3600,3600,3600,3600,14,res_Nordu1997.gml
3600,3600,3600,3600,3600,3600,15,res_Nordu1997.gml
3600,3600,3600,3600,3600,3600,16,res_Nordu1997.gml
0.09789759665727615,0.09790689498186111,false,1,-1,15,1,res_Cesnet1993.gml
0.09885866194963455,0.09886472672224045,false,1,-1,15,2,res_Cesnet1993.gml
0.10743825137615204,0.10744522511959076,false,1,-1,15,3,res_Cesnet1993.gml
0.12044748663902283,0.12045501545071602,false,1,-1,15,4,res_Cesnet1993.gml
0.3458976782858372,0.34590473026037216,true,17988,-1,15,5,res_Cesnet1993.gml
0.9432151727378368,0.9432211555540562,true,53824,-1,15,6,res_Cesnet1993.gml
2.6258147582411766,2.625820927321911,true,140951,-1,15,7,res_Cesnet1993.gml
7.338017426431179,7.3380245715379715,true,298900,-1,15,8,res_Cesnet1993.gml
20.841682106256485,20.84168878570199,true,859435,-1,15,9,res_Cesnet1993.gml
44.20437319949269,44.20438043028116,true,1595647,-1,15,10,res_Cesnet1993.gml
98.12897703796625,98.12898506224155,true,2845863,-1,15,11,res_Cesnet1993.gml
